dtype,hdim_q,hdim_v,mask,atomic32,pssk,pddv,mode,bf16_cvt,ts_qo,ts,knl_name,co_name
fp16,64,64,0,1,1,0,0,3,32,192,_ZN5aiter27fmha_bwd_hd64_fp16_a32_psskE,bwd_hd64_fp16_a32_pssk.co
fp16,64,64,1,1,1,0,0,3,32,192,_ZN5aiter34fmha_bwd_hd64_fp16_causal_a32_psskE,bwd_hd64_fp16_causal_a32_pssk.co
fp16,128,128,2,1,1,1,0,3,16,192,_ZN5aiter41fmha_bwd_hd128_fp16_causal_br_a32_psskddvE,bwd_hd128_fp16_causal_br_a32_psskddv.co
fp16,128,128,2,1,1,0,1,3,16,192,_ZN5aiter44fmha_bwd_hd128_fp16_causal_br_a32_pssk_groupE,bwd_hd128_fp16_causal_br_a32_pssk_group.co
fp16,128,128,2,1,1,1,1,3,16,192,_ZN5aiter47fmha_bwd_hd128_fp16_causal_br_a32_psskddv_groupE,bwd_hd128_fp16_causal_br_a32_psskddv_group.co
fp16,192,192,0,1,1,1,1,3,16,64,_ZN5aiter37fmha_bwd_hd192_fp16_a32_psskddv_groupE,bwd_hd192_fp16_a32_psskddv_group.co
fp16,192,192,2,1,1,1,0,3,16,64,_ZN5aiter41fmha_bwd_hd192_fp16_causal_br_a32_psskddvE,bwd_hd192_fp16_causal_br_a32_psskddv.co
fp16,192,192,2,1,1,1,1,3,16,64,_ZN5aiter47fmha_bwd_hd192_fp16_causal_br_a32_psskddv_groupE,bwd_hd192_fp16_causal_br_a32_psskddv_group.co
fp16,192,192,1,1,1,1,1,3,16,64,_ZN5aiter44fmha_bwd_hd192_fp16_causal_a32_psskddv_groupE,bwd_hd192_fp16_causal_a32_psskddv_group.co
fp16,64,64,0,1,1,0,1,3,32,192,_ZN5aiter33fmha_bwd_hd64_fp16_a32_pssk_groupE,bwd_hd64_fp16_a32_pssk_group.co
fp16,64,64,2,1,1,0,0,3,32,192,_ZN5aiter37fmha_bwd_hd64_fp16_causal_br_a32_psskE,bwd_hd64_fp16_causal_br_a32_pssk.co
fp16,64,64,2,1,1,0,1,3,32,192,_ZN5aiter43fmha_bwd_hd64_fp16_causal_br_a32_pssk_groupE,bwd_hd64_fp16_causal_br_a32_pssk_group.co
fp16,64,64,1,1,1,0,1,3,32,192,_ZN5aiter40fmha_bwd_hd64_fp16_causal_a32_pssk_groupE,bwd_hd64_fp16_causal_a32_pssk_group.co
bf16,64,64,2,1,1,0,1,0,32,192,_ZN5aiter48fmha_bwd_hd64_bf16_causal_br_a32_rtne_pssk_groupE,bwd_hd64_bf16_causal_br_a32_rtne_pssk_group.co
bf16,64,64,2,1,1,0,1,1,32,192,_ZN5aiter48fmha_bwd_hd64_bf16_causal_br_a32_rtna_pssk_groupE,bwd_hd64_bf16_causal_br_a32_rtna_pssk_group.co
bf16,64,64,2,1,1,0,1,2,32,192,_ZN5aiter47fmha_bwd_hd64_bf16_causal_br_a32_rtz_pssk_groupE,bwd_hd64_bf16_causal_br_a32_rtz_pssk_group.co
bf16,64,64,1,1,1,0,0,0,32,192,_ZN5aiter39fmha_bwd_hd64_bf16_causal_a32_rtne_psskE,bwd_hd64_bf16_causal_a32_rtne_pssk.co
bf16,64,64,1,1,1,0,0,1,32,192,_ZN5aiter39fmha_bwd_hd64_bf16_causal_a32_rtna_psskE,bwd_hd64_bf16_causal_a32_rtna_pssk.co
bf16,64,64,1,1,1,0,0,2,32,192,_ZN5aiter38fmha_bwd_hd64_bf16_causal_a32_rtz_psskE,bwd_hd64_bf16_causal_a32_rtz_pssk.co
bf16,64,64,1,1,1,0,1,0,32,192,_ZN5aiter45fmha_bwd_hd64_bf16_causal_a32_rtne_pssk_groupE,bwd_hd64_bf16_causal_a32_rtne_pssk_group.co
bf16,64,64,1,1,1,0,1,1,32,192,_ZN5aiter45fmha_bwd_hd64_bf16_causal_a32_rtna_pssk_groupE,bwd_hd64_bf16_causal_a32_rtna_pssk_group.co
bf16,64,64,1,1,1,0,1,2,32,192,_ZN5aiter44fmha_bwd_hd64_bf16_causal_a32_rtz_pssk_groupE,bwd_hd64_bf16_causal_a32_rtz_pssk_group.co
bf16,192,192,0,1,1,1,1,0,16,64,_ZN5aiter42fmha_bwd_hd192_bf16_a32_rtne_psskddv_groupE,bwd_hd192_bf16_a32_rtne_psskddv_group.co
bf16,192,192,0,1,1,1,1,1,16,64,_ZN5aiter42fmha_bwd_hd192_bf16_a32_rtna_psskddv_groupE,bwd_hd192_bf16_a32_rtna_psskddv_group.co
bf16,192,192,0,1,1,1,1,2,16,64,_ZN5aiter41fmha_bwd_hd192_bf16_a32_rtz_psskddv_groupE,bwd_hd192_bf16_a32_rtz_psskddv_group.co
bf16,192,192,0,1,1,1,0,0,16,64,_ZN5aiter36fmha_bwd_hd192_bf16_a32_rtne_psskddvE,bwd_hd192_bf16_a32_rtne_psskddv.co
bf16,192,192,0,1,1,1,0,1,16,64,_ZN5aiter36fmha_bwd_hd192_bf16_a32_rtna_psskddvE,bwd_hd192_bf16_a32_rtna_psskddv.co
bf16,192,192,0,1,1,1,0,2,16,64,_ZN5aiter35fmha_bwd_hd192_bf16_a32_rtz_psskddvE,bwd_hd192_bf16_a32_rtz_psskddv.co
bf16,192,192,2,1,1,1,0,0,16,64,_ZN5aiter46fmha_bwd_hd192_bf16_causal_br_a32_rtne_psskddvE,bwd_hd192_bf16_causal_br_a32_rtne_psskddv.co
bf16,192,192,2,1,1,1,0,1,16,64,_ZN5aiter46fmha_bwd_hd192_bf16_causal_br_a32_rtna_psskddvE,bwd_hd192_bf16_causal_br_a32_rtna_psskddv.co
bf16,192,192,2,1,1,1,0,2,16,64,_ZN5aiter45fmha_bwd_hd192_bf16_causal_br_a32_rtz_psskddvE,bwd_hd192_bf16_causal_br_a32_rtz_psskddv.co
bf16,192,192,2,1,1,1,1,0,16,64,_ZN5aiter52fmha_bwd_hd192_bf16_causal_br_a32_rtne_psskddv_groupE,bwd_hd192_bf16_causal_br_a32_rtne_psskddv_group.co
bf16,192,192,2,1,1,1,1,1,16,64,_ZN5aiter52fmha_bwd_hd192_bf16_causal_br_a32_rtna_psskddv_groupE,bwd_hd192_bf16_causal_br_a32_rtna_psskddv_group.co
bf16,192,192,2,1,1,1,1,2,16,64,_ZN5aiter51fmha_bwd_hd192_bf16_causal_br_a32_rtz_psskddv_groupE,bwd_hd192_bf16_causal_br_a32_rtz_psskddv_group.co
bf16,192,192,1,1,1,1,0,0,16,64,_ZN5aiter43fmha_bwd_hd192_bf16_causal_a32_rtne_psskddvE,bwd_hd192_bf16_causal_a32_rtne_psskddv.co
bf16,192,192,1,1,1,1,0,1,16,64,_ZN5aiter43fmha_bwd_hd192_bf16_causal_a32_rtna_psskddvE,bwd_hd192_bf16_causal_a32_rtna_psskddv.co
bf16,192,192,1,1,1,1,0,2,16,64,_ZN5aiter42fmha_bwd_hd192_bf16_causal_a32_rtz_psskddvE,bwd_hd192_bf16_causal_a32_rtz_psskddv.co
bf16,192,192,1,1,1,1,1,0,16,64,_ZN5aiter49fmha_bwd_hd192_bf16_causal_a32_rtne_psskddv_groupE,bwd_hd192_bf16_causal_a32_rtne_psskddv_group.co
bf16,192,192,1,1,1,1,1,1,16,64,_ZN5aiter49fmha_bwd_hd192_bf16_causal_a32_rtna_psskddv_groupE,bwd_hd192_bf16_causal_a32_rtna_psskddv_group.co
bf16,192,192,1,1,1,1,1,2,16,64,_ZN5aiter48fmha_bwd_hd192_bf16_causal_a32_rtz_psskddv_groupE,bwd_hd192_bf16_causal_a32_rtz_psskddv_group.co
bf16,64,64,1,0,0,0,0,0,32,192,_ZN5aiter34fmha_bwd_hd64_bf16_causal_a16_rtneE,bwd_hd64_bf16_causal_a16_rtne.co
bf16,64,64,1,0,0,0,0,1,32,192,_ZN5aiter34fmha_bwd_hd64_bf16_causal_a16_rtnaE,bwd_hd64_bf16_causal_a16_rtna.co
bf16,64,64,1,0,0,0,0,2,32,192,_ZN5aiter33fmha_bwd_hd64_bf16_causal_a16_rtzE,bwd_hd64_bf16_causal_a16_rtz.co
bf16,64,64,0,1,1,0,0,0,32,192,_ZN5aiter32fmha_bwd_hd64_bf16_a32_rtne_psskE,bwd_hd64_bf16_a32_rtne_pssk.co
bf16,64,64,0,1,1,0,0,1,32,192,_ZN5aiter32fmha_bwd_hd64_bf16_a32_rtna_psskE,bwd_hd64_bf16_a32_rtna_pssk.co
bf16,64,64,0,1,1,0,0,2,32,192,_ZN5aiter31fmha_bwd_hd64_bf16_a32_rtz_psskE,bwd_hd64_bf16_a32_rtz_pssk.co
bf16,64,64,0,1,1,0,1,0,32,192,_ZN5aiter38fmha_bwd_hd64_bf16_a32_rtne_pssk_groupE,bwd_hd64_bf16_a32_rtne_pssk_group.co
bf16,64,64,0,1,1,0,1,1,32,192,_ZN5aiter38fmha_bwd_hd64_bf16_a32_rtna_pssk_groupE,bwd_hd64_bf16_a32_rtna_pssk_group.co
bf16,64,64,0,1,1,0,1,2,32,192,_ZN5aiter37fmha_bwd_hd64_bf16_a32_rtz_pssk_groupE,bwd_hd64_bf16_a32_rtz_pssk_group.co
bf16,64,64,2,1,1,0,0,0,32,192,_ZN5aiter42fmha_bwd_hd64_bf16_causal_br_a32_rtne_psskE,bwd_hd64_bf16_causal_br_a32_rtne_pssk.co
bf16,64,64,2,1,1,0,0,1,32,192,_ZN5aiter42fmha_bwd_hd64_bf16_causal_br_a32_rtna_psskE,bwd_hd64_bf16_causal_br_a32_rtna_pssk.co
bf16,64,64,2,1,1,0,0,2,32,192,_ZN5aiter41fmha_bwd_hd64_bf16_causal_br_a32_rtz_psskE,bwd_hd64_bf16_causal_br_a32_rtz_pssk.co
bf16,128,128,0,0,0,0,0,0,16,192,_ZN5aiter28fmha_bwd_hd128_bf16_a16_rtneE,bwd_hd128_bf16_a16_rtne.co
bf16,128,128,0,0,0,0,0,1,16,192,_ZN5aiter28fmha_bwd_hd128_bf16_a16_rtnaE,bwd_hd128_bf16_a16_rtna.co
bf16,128,128,0,0,0,0,0,2,16,192,_ZN5aiter27fmha_bwd_hd128_bf16_a16_rtzE,bwd_hd128_bf16_a16_rtz.co
bf16,128,128,0,0,0,1,0,0,16,192,_ZN5aiter33fmha_bwd_hd128_bf16_a16_rtne_pddvE,bwd_hd128_bf16_a16_rtne_pddv.co
bf16,128,128,0,0,0,1,0,1,16,192,_ZN5aiter33fmha_bwd_hd128_bf16_a16_rtna_pddvE,bwd_hd128_bf16_a16_rtna_pddv.co
bf16,128,128,0,0,0,1,0,2,16,192,_ZN5aiter32fmha_bwd_hd128_bf16_a16_rtz_pddvE,bwd_hd128_bf16_a16_rtz_pddv.co
bf16,128,128,1,0,0,0,0,0,16,192,_ZN5aiter35fmha_bwd_hd128_bf16_causal_a16_rtneE,bwd_hd128_bf16_causal_a16_rtne.co
bf16,128,128,1,0,0,0,0,1,16,192,_ZN5aiter35fmha_bwd_hd128_bf16_causal_a16_rtnaE,bwd_hd128_bf16_causal_a16_rtna.co
bf16,128,128,1,0,0,0,0,2,16,192,_ZN5aiter34fmha_bwd_hd128_bf16_causal_a16_rtzE,bwd_hd128_bf16_causal_a16_rtz.co
bf16,128,128,1,0,0,1,0,0,16,192,_ZN5aiter40fmha_bwd_hd128_bf16_causal_a16_rtne_pddvE,bwd_hd128_bf16_causal_a16_rtne_pddv.co
bf16,128,128,1,0,0,1,0,1,16,192,_ZN5aiter40fmha_bwd_hd128_bf16_causal_a16_rtna_pddvE,bwd_hd128_bf16_causal_a16_rtna_pddv.co
bf16,128,128,1,0,0,1,0,2,16,192,_ZN5aiter39fmha_bwd_hd128_bf16_causal_a16_rtz_pddvE,bwd_hd128_bf16_causal_a16_rtz_pddv.co
bf16,128,128,0,1,0,0,0,0,16,192,_ZN5aiter28fmha_bwd_hd128_bf16_a32_rtneE,bwd_hd128_bf16_a32_rtne.co
bf16,128,128,0,1,0,0,0,1,16,192,_ZN5aiter28fmha_bwd_hd128_bf16_a32_rtnaE,bwd_hd128_bf16_a32_rtna.co
bf16,128,128,0,1,0,0,0,2,16,192,_ZN5aiter27fmha_bwd_hd128_bf16_a32_rtzE,bwd_hd128_bf16_a32_rtz.co
bf16,128,128,0,1,1,1,0,0,16,192,_ZN5aiter36fmha_bwd_hd128_bf16_a32_rtne_psskddvE,bwd_hd128_bf16_a32_rtne_psskddv.co
bf16,128,128,0,1,1,1,0,1,16,192,_ZN5aiter36fmha_bwd_hd128_bf16_a32_rtna_psskddvE,bwd_hd128_bf16_a32_rtna_psskddv.co
bf16,128,128,0,1,1,1,0,2,16,192,_ZN5aiter35fmha_bwd_hd128_bf16_a32_rtz_psskddvE,bwd_hd128_bf16_a32_rtz_psskddv.co
bf16,128,128,0,1,1,0,1,0,16,192,_ZN5aiter39fmha_bwd_hd128_bf16_a32_rtne_pssk_groupE,bwd_hd128_bf16_a32_rtne_pssk_group.co
bf16,128,128,0,1,1,1,1,0,16,192,_ZN5aiter42fmha_bwd_hd128_bf16_a32_rtne_psskddv_groupE,bwd_hd128_bf16_a32_rtne_psskddv_group.co
bf16,128,128,0,1,1,0,1,1,16,192,_ZN5aiter39fmha_bwd_hd128_bf16_a32_rtna_pssk_groupE,bwd_hd128_bf16_a32_rtna_pssk_group.co
bf16,128,128,0,1,1,1,1,1,16,192,_ZN5aiter42fmha_bwd_hd128_bf16_a32_rtna_psskddv_groupE,bwd_hd128_bf16_a32_rtna_psskddv_group.co
bf16,128,128,0,1,1,0,1,2,16,192,_ZN5aiter38fmha_bwd_hd128_bf16_a32_rtz_pssk_groupE,bwd_hd128_bf16_a32_rtz_pssk_group.co
bf16,128,128,0,1,1,1,1,2,16,192,_ZN5aiter41fmha_bwd_hd128_bf16_a32_rtz_psskddv_groupE,bwd_hd128_bf16_a32_rtz_psskddv_group.co
bf16,128,128,2,1,1,1,0,0,16,192,_ZN5aiter46fmha_bwd_hd128_bf16_causal_br_a32_rtne_psskddvE,bwd_hd128_bf16_causal_br_a32_rtne_psskddv.co
bf16,128,128,2,1,1,1,0,1,16,192,_ZN5aiter46fmha_bwd_hd128_bf16_causal_br_a32_rtna_psskddvE,bwd_hd128_bf16_causal_br_a32_rtna_psskddv.co
bf16,128,128,2,1,1,1,0,2,16,192,_ZN5aiter45fmha_bwd_hd128_bf16_causal_br_a32_rtz_psskddvE,bwd_hd128_bf16_causal_br_a32_rtz_psskddv.co
bf16,128,128,2,1,1,0,1,0,16,192,_ZN5aiter49fmha_bwd_hd128_bf16_causal_br_a32_rtne_pssk_groupE,bwd_hd128_bf16_causal_br_a32_rtne_pssk_group.co
bf16,128,128,2,1,1,1,1,0,16,192,_ZN5aiter52fmha_bwd_hd128_bf16_causal_br_a32_rtne_psskddv_groupE,bwd_hd128_bf16_causal_br_a32_rtne_psskddv_group.co
bf16,128,128,2,1,1,0,1,1,16,192,_ZN5aiter49fmha_bwd_hd128_bf16_causal_br_a32_rtna_pssk_groupE,bwd_hd128_bf16_causal_br_a32_rtna_pssk_group.co
bf16,128,128,2,1,1,1,1,1,16,192,_ZN5aiter52fmha_bwd_hd128_bf16_causal_br_a32_rtna_psskddv_groupE,bwd_hd128_bf16_causal_br_a32_rtna_psskddv_group.co
bf16,128,128,2,1,1,0,1,2,16,192,_ZN5aiter48fmha_bwd_hd128_bf16_causal_br_a32_rtz_pssk_groupE,bwd_hd128_bf16_causal_br_a32_rtz_pssk_group.co
bf16,128,128,2,1,1,1,1,2,16,192,_ZN5aiter51fmha_bwd_hd128_bf16_causal_br_a32_rtz_psskddv_groupE,bwd_hd128_bf16_causal_br_a32_rtz_psskddv_group.co
bf16,128,128,1,1,0,0,0,0,16,192,_ZN5aiter35fmha_bwd_hd128_bf16_causal_a32_rtneE,bwd_hd128_bf16_causal_a32_rtne.co
bf16,128,128,1,1,0,0,0,1,16,192,_ZN5aiter35fmha_bwd_hd128_bf16_causal_a32_rtnaE,bwd_hd128_bf16_causal_a32_rtna.co
bf16,128,128,1,1,0,0,0,2,16,192,_ZN5aiter34fmha_bwd_hd128_bf16_causal_a32_rtzE,bwd_hd128_bf16_causal_a32_rtz.co
bf16,128,128,1,1,1,1,0,0,16,192,_ZN5aiter43fmha_bwd_hd128_bf16_causal_a32_rtne_psskddvE,bwd_hd128_bf16_causal_a32_rtne_psskddv.co
bf16,128,128,1,1,1,1,0,1,16,192,_ZN5aiter43fmha_bwd_hd128_bf16_causal_a32_rtna_psskddvE,bwd_hd128_bf16_causal_a32_rtna_psskddv.co
bf16,128,128,1,1,1,1,0,2,16,192,_ZN5aiter42fmha_bwd_hd128_bf16_causal_a32_rtz_psskddvE,bwd_hd128_bf16_causal_a32_rtz_psskddv.co
bf16,128,128,1,1,1,0,1,0,16,192,_ZN5aiter46fmha_bwd_hd128_bf16_causal_a32_rtne_pssk_groupE,bwd_hd128_bf16_causal_a32_rtne_pssk_group.co
bf16,128,128,1,1,1,1,1,0,16,192,_ZN5aiter49fmha_bwd_hd128_bf16_causal_a32_rtne_psskddv_groupE,bwd_hd128_bf16_causal_a32_rtne_psskddv_group.co
bf16,128,128,1,1,1,0,1,1,16,192,_ZN5aiter46fmha_bwd_hd128_bf16_causal_a32_rtna_pssk_groupE,bwd_hd128_bf16_causal_a32_rtna_pssk_group.co
bf16,128,128,1,1,1,1,1,1,16,192,_ZN5aiter49fmha_bwd_hd128_bf16_causal_a32_rtna_psskddv_groupE,bwd_hd128_bf16_causal_a32_rtna_psskddv_group.co
bf16,128,128,1,1,1,0,1,2,16,192,_ZN5aiter45fmha_bwd_hd128_bf16_causal_a32_rtz_pssk_groupE,bwd_hd128_bf16_causal_a32_rtz_pssk_group.co
bf16,128,128,1,1,1,1,1,2,16,192,_ZN5aiter48fmha_bwd_hd128_bf16_causal_a32_rtz_psskddv_groupE,bwd_hd128_bf16_causal_a32_rtz_psskddv_group.co
bf16,128,128,3,1,1,1,0,0,16,192,_ZN5aiter40fmha_bwd_hd128_bf16_swa_a32_rtne_psskddvE,bwd_hd128_bf16_swa_a32_rtne_psskddv.co
bf16,128,128,3,1,1,1,0,1,16,192,_ZN5aiter40fmha_bwd_hd128_bf16_swa_a32_rtna_psskddvE,bwd_hd128_bf16_swa_a32_rtna_psskddv.co
bf16,128,128,3,1,1,1,0,2,16,192,_ZN5aiter39fmha_bwd_hd128_bf16_swa_a32_rtz_psskddvE,bwd_hd128_bf16_swa_a32_rtz_psskddv.co
bf16,64,64,0,0,0,0,0,0,32,192,_ZN5aiter27fmha_bwd_hd64_bf16_a16_rtneE,bwd_hd64_bf16_a16_rtne.co
bf16,64,64,0,0,0,0,0,1,32,192,_ZN5aiter27fmha_bwd_hd64_bf16_a16_rtnaE,bwd_hd64_bf16_a16_rtna.co
bf16,64,64,0,0,0,0,0,2,32,192,_ZN5aiter26fmha_bwd_hd64_bf16_a16_rtzE,bwd_hd64_bf16_a16_rtz.co
